"Titel","Autor","Jahr"
"Przekształcenia przestrzennego rozmieszczenia zasobów mieszkaniowych w Warszawie w latach 1945-2008","Marcin Stępniak",2014
"At the dawn of a new reign","S. Stepniak",1905
"Archiwalia polskiej proweniencji terytorialnej przechowywane w Państwowym Archiwum Federacji Rosyjskiej i Rosyjskim Państwowym Archiwum Wojskowym","Władysław Stępniak",
"Quantitative Aspects of Bronze Age Metalwork in Western Poland","Tomasz P. Stepniak",1987
"Quantitative aspects of Bronze Age metalwork in western Poland","Tomasz P. Stȩpniak",1986
"Kula jako symbol vanitas","Beata Purc-Stepniak",2004
"Sytuacyjne uwarunkow ania przetepczosci mlodocianych","Piotr Andrzej Stepniak",1989
"Kula jako symbol vanitas","Beata Purc-Stępniak",2004
"Sytuacyjne uwarunkowania przestępczości młodocianych","Piotr Andrzej Stępniak",1989
"Beyond the Conservatory Model","Michael Stepniak",2019
"Grozovai︠a︡ tucha Rossii","Sergeĭ Mikhaĭlovich Stepni︠a︡k-Kravchinskiĭ",2001
"Osoby z niepełnosprawnością w Unii Europejskiej","Marek Piasecki",2000
"Underground Russia; Revolutionary Profiles and Sketches from Life","S Stepniak",2018
"Underground Russia; revolutionary profiles and sketches from life","S. Stepniak",1883
"Proėkt russkoĭ konstitut͡sii","S. Stepni͡ak",1895
"Underground Russia","S. Stepniak",2018
"Scarlet Flower","E. L. Voynich",2020
"Humour of Russia","S. Stepniak",2015
"Za sto li︠e︡t (1800-1896): sbornik po istorīi politicheskikh i ...","Vladimir Lʹvovich Burt︠s︡ev",1897
"Nihilism as it is, Being Stepniak's Pamphlets Translated by E.L. Voynich, and Felix Volkhovsky's ""Claims of the Russian Liberals"", With an Introd. by Dr. R. Spence Watson","S Stepniak",2018
"Nihilism As It Is, Being Stepniak's Pamphlets Translated by E. L. Voynich, and Felix Volkhovsky's Claims of the Russian Liberals, with an Introd. by Dr. R. Spence Watson","S. Stepniak",2018
"Fluorine","Victor R. Preedy",2015
"Polska w strefie euro",,2005
"Sʺkrovishte slovēsʹnoi︠e︡","Wiesław Boryś",2000
"Klasztorne ośrodki piśmiennictwa i kultury w krajach słowiańskich","Jan Stradomski",2005
"Rola klasztorów w procesia kształtowania się państwowości krajów słowiańskich",,2002
"Archives in the society","ICA Pre-Congress Meeting - Vienna 2004 (2003 Elbląg).",2003
"Rewolucja lat 1905-1907",,2005
"Archives and non-traditional carriers of information","Colloquia Jerzy Skowronek dedicata (11th 2005 Warsaw, Poland, and Toruń, Poland)",2006
"Accessibility of archival materials in compliance with the law and general practices of the states of Central and East European countries",,2000
